WALFORD-ON-WYE VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO591208,Long,-2.5956307,Lat,51.88425,Elevation,112,ft,,,,,,,,,,,,
Station no,RR7155,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,3.93,3.64,1.14,4.53,2.22,0.67,1.01,2.92,0.84,4.17,4.82,0.66,3.36,,,,
February,,,,2.5,5.01,0.74,1.59,0.87,0.94,0.5,4.26,1.57,2.55,1.41,3.01,4.83,,,,
March,,,,3.68,1.88,4.15,1.17,0.6,3.76,2.99,1.04,1.94,5.05,5.17,3.18,0.76,,,,
April,,,,2.47,1.46,2.47,1.17,4.23,3.1,2.34,2.67,1.1,0.24,4.29,1.68,0.75,,,,
May,,,,4.17,1.88,0.79,1.93,2.33,1.99,1.01,1.88,2.99,2.92,2.33,1.73,3.4,,,,
June,,,,2.86,0.99,2.95,2.93,2.55,1.22,1.81,3.68,1.23,4.92,0.93,3.04,0.55,,,,
July,,,,3.41,2.08,1.49,0.53,2.32,1.67,1.78,1.79,0.46,4.44,0.81,5.1,3.84,,,,
August,,,,3.69,1.62,3.72,0.97,2.94,2.31,2.36,5.88,2.24,6.85,1.11,1.43,1.98,,,,
September,,,,3.21,2.72,1.6,0.85,0.62,3.15,2.9,0.44,1.23,0.64,2.81,1.15,1.07,,,,
October,,,,8.01,1.08,1.42,4.62,9.19,2.11,4.75,4.3,2.13,3.83,4.33,2.14,4.81,,,,
November,,,,1.27,1.49,4.52,2.98,2.64,1.2,1.29,4.46,3.26,1.34,3.36,3.12,1.92,,,,
December,,,,2.52,2.36,0.82,1.37,4.37,2.49,5.29,6.87,9.25,3.57,1.03,6.66,6,,,,
Total,,,,41.72,26.21,25.81,24.64,34.88,24.61,28.03,40.19,28.24,40.52,32.4,32.9,33.27,,,,
