WEOBLY SCHOOL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2238,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.42,2.60,3.99,1.28,3.37,2.71,4.13,3.88,4.50,1.21,5.27,
February,1.14,0.20,3.25,7.60,0.49,4.69,2.37,2.62,2.26,0.96,0.72,
March,3.78,1.98,2.37,1.05,1.34,0.59,0.49,2.68,3.25,0.19,2.86,
April,5.08,0.85,2.33,2.17,3.07,1.94,2.27,1.30,1.38,0.52,2.89,
May,2.02,0.80,0.88,1.47,4.94,4.15,2.27,1.36,0.77,2.57,2.04,
June,3.22,0.26,0.86,0.44,2.74,0.00,1.41,2.99,3.57,3.04,1.11,
July,5.00,0.71,3.11,2.35,5.05,2.31,1.89,2.67,1.75,1.76,2.99,
August,0.89,2.84,3.25,2.54,3.07,3.38,2.29,5.62,2.41,0.98,3.33,
September,2.42,0.87,1.68,1.66,4.39,3.36,1.29,3.42,1.50,1.37,3.78,
October,3.71,1.58,0.84,4.64,4.34,3.46,3.34,2.21,5.03,4.73,2.78,
November,1.38,2.37,1.29,1.36,3.18,2.03,6.58,3.39,3.76,7.57,2.81,
December,2.90,1.70,4.45,1.75,3.04,2.32,0.68,2.84,2.37,6.98,3.88,
Total,34.96,16.76,28.30,28.31,39.02,30.94,29.01,34.98,32.55,31.88,34.46,
Calc annual,34.96,16.76,28.30,28.31,39.02,30.94,29.01,34.98,32.55,31.88,34.46,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
