"WESTBURY (WELLHEAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1476/7,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.01,3.78,5.62,1.77,1.91,2.79,2.94,5.04,1.29,0.36,,
February,2.52,0.29,1.17,0.64,1.86,2.75,1.81,0.11,1.50,5.62,,
March,3.48,2.01,0.82,0.38,0.97,0.85,6.03,0.45,1.14,1.15,,
April,1.24,1.64,0.61,1.17,0.65,2.52,2.17,1.07,1.25,2.87,,
May,1.58,5.55,2.53,0.36,2.44,4.31,2.76,3.20,2.86,1.71,,
June,2.29,0.43,1.44,2.18,3.43,2.62,1.82,2.16,0.03,2.36,,
July,1.67,1.86,2.33,2.95,1.42,1.12,1.61,0.91,1.39,4.61,,
August,4.35,4.50,3.13,2.22,2.07,4.07,0.63,4.64,1.49,3.35,,
September,0.54,1.44,2.74,2.51,2.49,3.68,1.46,2.59,1.60,4.04,,
October,1.29,3.91,3.68,4.79,4.31,1.17,0.56,3.53,6.99,1.39,,
November,1.74,1.79,1.82,5.04,0.43,5.86,1.75,1.36,3.42,6.19,,
December,1.67,3.91,2.25,2.85,3.72,2.99,1.91,5.49,1.48,1.96,,
Total,25.38,31.11,28.14,26.86,25.70,34.73,25.45,31.58,24.44,35.61,,
Calc annual,25.38,31.11,28.14,26.86,25.70,34.73,25.45,30.55,24.44,35.61,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,1.03,0.00,0.00,,
