"WICKHAM (THE CROFT)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,691/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,2.32,0.95,4.41,6.30,4.23,6.51,3.40,,
February,,,,0.03,3.49,2.95,5.53,0.63,1.86,3.76,,
March,,,,2.62,0.87,1.75,3.94,0.51,1.92,3.41,,
April,,,,2.12,3.62,2.43,4.45,0.07,1.27,1.18,,
May,,,,1.16,1.32,0.29,3.39,1.93,1.20,0.69,,
June,,,,1.01,3.59,2.88,1.80,0.79,1.83,0.23,,
July,,,,0.93,1.27,4.33,1.32,2.59,3.92,2.83,,
August,,,,4.56,3.68,0.55,2.14,3.57,2.14,0.03,,
September,,,,1.45,4.52,3.60,1.77,1.76,1.07,1.56,,
October,,,,1.56,5.25,1.17,3.11,3.69,6.40,4.59,,
November,,,,3.38,7.64,4.12,2.41,4.95,6.31,8.89,,
December,,,,11.14,3.93,2.92,5.16,3.53,2.10,2.25,,
Total,,,,32.28,40.13,31.40,41.32,28.25,36.53,32.82,,
Calc annual,0.00,0.00,0.00,32.28,40.13,31.40,41.32,28.25,36.53,32.82,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
