"WILDMORE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2543/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,3.13,1.99,3.59,1.74,,
February,,,,,,,2.01,0.94,0.75,2.04,,
March,,,,,,,2.28,0.18,1.98,1.52,,
April,,,,,,,2.45,0.08,1.37,1.06,,
May,,,,,,,4.28,1.83,0.89,1.27,,
June,,,,,,,1.44,1.07,2.26,0.94,,
July,,,,,,,4.78,3.03,2.27,6.57,,
August,,,,,,,1.15,2.16,0.94,0.67,,
September,,,,,,,1.41,1.98,2.67,1.03,,
October,,,,,,,1.54,2.20,3.01,2.48,,
November,,,,,,,1.80,1.89,3.76,3.49,,
December,,,,,,,1.72,3.73,1.77,1.68,,
Total,,,,,,,27.99,21.08,25.26,24.49,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,27.99,21.08,25.26,24.49,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,,
