WOLVERHAMPTON (COPTHORNE ROAD),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2318/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,1.99,1.98,2.58,0.76,,3.05,,,,,
February,,0.27,3.25,0.35,2.64,,3.58,,,,,
March,,1.60,2.69,2.54,0.66,,2.33,,,,,
April,,3.61,0.83,2.54,3.58,,2.64,,,,,
May,,6.35,1.36,1.01,1.25,,2.00,,,,,
June,,0.97,3.18,1.20,4.25,,0.58,,,,,
July,,4.21,1.92,0.90,0.42,,2.91,,,,,
August,,2.71,0.78,2.71,1.43,,1.18,,,,,
September,,2.62,0.78,1.77,3.37,,2.11,,,,,
October,,4.54,5.37,1.62,4.18,,2.01,,,,,
November,,2.41,0.92,2.05,5.52,,1.47,,,,,
December,,0.91,0.41,4.69,2.90,,2.19,,,,,
Total,,32.19,23.47,23.96,30.96,,26.05,,,,,
Calc annual,0.00,32.19,23.47,23.96,30.96,0.00,26.05,0.00,0.00,0.00,,
Difference,NaN,0.00,-0.00,-0.00,0.00,NaN,0.00,NaN,NaN,NaN,,
