WARPLESDON (TANGLEY PLACE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,211/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.31,3.24,5.50,1.55,1.70,2.17,2.05,4.57,,,,
February,2.43,0.65,1.39,0.69,1.83,2.65,1.38,1.10,,,,
March,3.54,1.65,0.46,0.16,0.60,1.35,5.08,0.78,,,,
April,1.23,1.28,1.19,0.89,1.10,2.04,1.77,1.48,,,,
May,2.22,3.73,2.61,0.57,1.34,3.38,1.25,2.09,,,,
June,2.77,0.33,1.25,2.13,2.78,2.25,1.99,2.45,,,,
July,3.71,1.62,1.35,1.56,4.82,2.35,1.73,1.49,,,,
August,5.09,2.89,1.53,2.02,1.16,4.00,0.64,3.39,,,,
September,0.17,1.13,1.65,2.12,2.32,3.50,1.31,1.32,,,,
October,1.12,3.73,2.66,3.76,3.37,0.92,0.37,2.12,,,,
November,3.43,1.94,1.32,3.83,0.24,4.86,0.92,1.83,,,,
December,1.72,3.50,1.56,2.41,4.10,3.12,3.14,3.29,,,,
Total,30.74,25.69,22.47,21.69,25.36,32.59,21.63,25.91,,,,
Calc annual,30.74,25.69,22.47,21.69,25.36,32.59,21.63,25.91,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
