"WORTLEY",,,,,,,,,,,,
Grid ref,SK299992,Long,-1.550841,Lat,53.488668,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.60,1.34,0.98,2.17,3.02,0.25,4.12,0.92,1.83,1.32,,
February,3.88,1.26,1.54,2.16,4.77,0.82,1.69,1.70,1.56,0.61,,
March,0.64,2.57,1.00,3.41,1.60,2.48,1.99,1.60,3.06,3.65,,
April,0.98,1.41,2.80,1.61,1.22,2.06,0.75,1.83,2.20,1.46,,
May,1.31,1.63,3.16,3.38,2.75,0.54,2.13,4.41,2.56,1.73,,
June,2.72,0.88,2.57,1.96,0.60,1.95,2.44,3.77,1.94,4.37,,
July,3.55,4.28,1.58,2.47,1.40,1.57,1.54,1.67,2.10,3.75,,
August,5.17,1.01,3.72,4.51,3.89,3.20,1.72,1.61,2.37,1.97,,
September,0.47,0.72,1.55,3.84,0.74,0.98,0.64,0.38,1.53,2.54,,
October,2.32,1.77,2.86,7.68,0.45,1.27,7.10,6.33,1.27,2.64,,
November,2.26,3.32,1.44,1.32,1.33,3.89,2.26,2.72,1.07,0.51,,
December,4.29,4.61,1.77,1.74,1.35,0.44,1.67,2.09,1.57,4.84,,
Total,31.19,24.80,24.97,36.25,23.12,19.45,28.05,29.03,23.06,29.39,,
Calc annual,31.19,24.80,24.97,36.25,23.12,19.45,28.05,29.03,23.06,29.39,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
