"WRAYSBURY SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1004,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.15,2.19,1.83,1.42,0.73,4.28,4.37,2.46,4.45,2.44,,
February,1.57,0.06,2.71,0.10,2.67,1.78,4.68,0.35,0.85,1.88,,
March,0.20,1.52,2.39,2.04,0.35,1.13,3.14,0.20,1.40,3.02,,
April,3.45,2.14,0.60,1.63,2.90,1.44,2.30,0.08,2.35,2.24,,
May,2.43,3.69,1.81,0.47,1.03,0.34,2.46,1.76,1.44,1.51,,
June,2.19,0.94,1.61,0.85,3.36,2.84,2.03,0.46,0.97,0.71,,
July,2.75,1.84,1.18,3.57,1.30,2.53,1.41,1.30,2.44,2.65,,
August,4.84,0.73,0.32,2.34,1.96,0.52,1.01,1.14,2.30,0.12,,
September,1.67,2.20,2.46,1.48,3.22,2.34,1.47,1.23,1.08,1.48,,
October,0.55,3.95,1.56,1.72,2.83,0.89,2.65,2.24,5.22,2.67,,
November,2.60,1.36,0.95,1.94,4.23,3.12,1.12,3.30,4.76,6.77,,
December,0.59,0.48,0.43,5.63,2.67,3.56,3.81,2.51,0.96,1.07,,
Total,23.99,21.10,17.85,23.19,27.25,24.77,30.45,17.03,28.22,26.56,,
Calc annual,23.99,21.10,17.85,23.19,27.25,24.77,30.45,17.03,28.22,26.56,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
