"WYTHBURN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3632,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,9.50,4.30,7.60,10.30,8.70,10.10,13.60,3.90,11.80,11.20,,
February,15.40,11.80,7.70,7.20,15.20,15.10,11.60,1.60,13.40,1.60,,
March,3.20,3.10,11.40,11.30,9.10,2.10,3.40,4.20,4.20,8.80,,
April,6.80,6.30,2.20,9.90,3.50,5.40,7.70,4.40,1.50,4.40,,
May,4.70,4.10,4.00,4.00,4.40,1.50,4.90,4.90,2.90,3.60,,
June,2.50,6.10,7.80,7.30,2.80,2.10,5.20,4.20,2.90,3.90,,
July,8.00,2.50,7.50,1.00,6.20,7.20,5.40,2.50,6.90,2.30,,
August,13.80,5.90,8.40,7.20,5.70,3.90,4.60,16.20,7.70,7.20,,
September,0.90,4.50,4.20,3.80,4.50,1.50,3.90,8.50,17.30,9.10,,
October,5.50,10.50,9.80,7.50,2.00,2.10,21.90,16.50,15.90,3.00,,
November,7.00,13.30,6.80,8.10,13.10,4.50,14.50,10.40,9.40,7.60,,
December,10.90,19.10,18.00,9.00,17.00,15.00,8.60,4.40,14.70,16.40,,
Total,88.20,91.50,95.40,86.60,92.20,70.50,105.30,81.70,108.60,79.10,,
Calc annual,88.20,91.50,95.40,86.60,92.20,70.50,105.30,81.70,108.60,79.10,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
