YORK - CONEY STREET,,,,,,,,,
Grid ref,SE602518,Long,-1.084,Lat,53.959,Elevation,40,ft,
Station no,RR1533,,,,,,,,
,,,,,,,,,
,1864,1865,1866,1867,1868,1869,1870,1871,1872
January,0.71,1.50,1.70,2.70,1.95,2.60,0.90,0.61,2.76
February,1.29,1.78,2.42,1.38,1.30,1.65,1.84,2.63,2.66
March,1.50,1.18,1.58,1.57,1.47,1.56,1.60,1.15,2.17
April,1.78,1.68,1.15,2.87,1.71,2.13,0.33,2.80,2.95
May,3.18,1.97,0.64,2.25,1.33,4.61,1.08,1.24,1.16
June,1.36,1.24,2.80,2.74,1.13,1.20,2.80,4.02,5.50
July,0.46,1.53,3.02,2.56,0.46,0.67,0.42,2.56,4.28
August,1.08,5.87,3.37,3.50,2.61,1.47,1.40,1.01,2.96
September,2.70,0.22,2.83,2.08,3.29,3.76,0.80,6.00,3.10
October,2.65,4.78,2.29,1.41,3.00,1.47,6.32,3.28,4.14
November,2.72,2.31,2.47,0.95,1.84,1.51,1.75,1.20,4.20
December,3.25,1.27,1.76,2.70,6.50,2.67,4.26,1.55,3.90
Total,22.68,25.33,26.03,26.71,26.59,25.30,23.50,28.05,39.78
,,,,,,,,,
TYRain_1860-1869_05_pt1/131,,,,,,,,,
TYRain_1870-1879_08_pt1/192,,,,,,,,,
,,,,,,,,,
# Exact property not determined.,,,,,,,,,
# Grid reference is mid-way along Coney Street.,,,,,,,,,
