"ABERDEEN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2253,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,,3.56,1.48,1.97,,
February,,,,,,,,2.74,0.75,2.26,,
March,,,,,,,,2.17,2.08,2.21,,
April,,,,,,,,3.29,0.85,3.86,,
May,,,,,,,,2.83,2.01,2.78,,
June,,,,,,,,3.67,1.79,2.35,,
July,,,,,,,,3.09,0.50,3.80,,
August,,,,,,,,6.94,3.94,4.31,,
September,,,,,,,,1.83,3.39,3.01,,
October,,,,,,,,2.14,2.40,1.16,,
November,,,,,,,,5.04,3.84,2.91,,
December,,,,,,,,2.66,4.77,0.95,,
Total,,,,,,,,39.96,27.80,31.57,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.96,27.80,31.57,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
